'Product','Quantity','Unit','Rufus','Pricemart','Janis','Colecom','BHT','Pricefall','Farmalley','Coopers','Main_St','Amalia'
'almond milk',1,'qt',2.7,2.3,2.3,2.7,2.6,2.3,2.6,2.6,2.7,2.4
'apples',1,'lb',1.0,0.9,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0
'bananas',1,'lb',0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5
'beans',1,'lb',0,1.3,1.4,1.4,1.2,1.3,1.3,1.3,1.2,1.3
'broccoli',1,'lb',2.4,2.4,2.1,2.5,2.5,2.4,2.2,2.2,2.2,2.5
'butter',1,'lb',1.9,2.1,1.9,1.9,2.0,2.1,1.9,2.2,1.8,2.0
'carrots',1,'lb',1.4,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.3
'celery',1,'lb',1.6,1.6,1.5,1.6,1.5,1.6,1.5,1.6,1.4,1.6
'chickpeas',1,'lb',1.4,1.5,1.5,1.5,1.3,1.5,1.5,1.5,1.4,1.5
'eggs',1,'dz',2.1,1.9,2.2,2.1,2.1,2.1,2.1,2.2,2.0,2.1
'garlic',1,'lb',3.3,3.3,3.2,3.2,2.8,3.2,3.1,2.8,3.1,3.3
'green grapes',1,'lb',1.9,2.0,2.0,2.0,2.1,2.2,2.2,2.2,2.1,1.9
'lemon',1,'lb',1.6,1.6,1.6,1.7,1.7,1.7,1.5,1.6,1.6,1.5
'lentils',1,'lb',1.4,1.4,1.4,1.3,1.4,1.5,1.5,1.4,1.3,1.4
'lettuce',1,'lb',2.7,2.5,2.7,2.5,2.4,2.3,2.3,2.3,2.4,2.4
'lime',1,'lb',1.6,1.4,1.4,1.6,1.6,1.4,1.4,1.6,1.4,1.6
'milk',1,'qt',1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,0.9,0.9
'oatmeal',1,'lb',1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.1
'onions',1,'lb',1.0,0.9,1.0,1.0,0.9,1.0,0.9,1.1,1.0,0.9
'oranges',1,'lb',1.3,1.3,1.2,1.2,1.3,1.2,1.4,1.4,1.2,1.3
'pineapple',1,'lb',2.1,2.1,2.1,1.9,2.0,2.0,1.9,2.0,2.0,2.0
'potatoes',1,'lb',1.0,1.1,1.0,1.0,1.0,1.0,1.1,0.9,0.9,1.0
'red grapes',1,'lb',1.9,2.2,2.1,2.2,2.1,2.0,2.0,2.1,1.9,2.0
'red peppers',1,'lb',2.1,1.9,2.0,2.1,1.9,2.1,1.9,1.8,1.9,1.8
'rice',1,'lb',1.3,1.1,1.1,1.2,1.3,1.2,1.1,1.2,1.1,1.2
'salt',1,'lb',1.1,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.1,0.9
'soy milk',1,'lb',2.2,2.0,2.3,2.1,2.1,2.1,2.0,2.2,2.2,2.1
'spinach',1,'lb',4.5,5.0,4.9,4.9,4.7,4.8,5.2,4.9,5.1,4.5
'squash',1,'lb',2.9,3.2,3.0,2.8,3.0,2.9,3.0,2.7,3.1,2.9
'sugar',1,'lb',0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
'sweet potatoes',1,'lb',1.3,1.3,1.2,1.3,1.3,1.2,1.2,1.1,1.1,1.1
'tomatoes',1,'lb',0.9,1.4,1.6,1.5,1.6,1.4,1.6,1.5,1.4,1.6
'zucchini',1,'lb',1.7,1.9,1.6,1.8,1.6,1.8,1.8,1.8,1.7,1.7
'chick peas',1,'lb',1.5,0,0,0,0,0,0,0,0,0
'cheese',1,'lb',0,0,0,0,4,0,0,0,0,0
'None',1,'None',0,,0,0,0,0,0,0,0,0
'None',1,'None',,0,0,0,0,0,0,0,0,0
'None',1,'None',,0,0,0,0,0,0,0,0,0
'Water',1,'Lt',1.90,0,0,0,0,0,0,0,0,0
'Water',1,'Lt',1.90,0,0,0,0,0,0,0,0,0
'water',1,'lt',1.9,0,0,0,0,0,0,0,0,0
'Eggplant',1,'lb',0,2.0,0,0,0,0,0,0,0,0
'eggplant',1,'lb',0,2.0,0,0,0,0,0,0,0,0
'green onion',1,'lb',0,0,0,0,0,0,0,0,0,1.356
